name,simbad_id,ra_deg,dec_deg,dist_ly,mag,spec_type,parallax_mas,radial_velocity
Betelgeuse (α Ori),* alf Ori,88.79293899077537,7.407063995272694,497.94809160305346,0.41999998688697815,M1-M2Ia-Iab,6.55,21.91
Bellatrix (γ Ori),* gam Ori,81.28276355652378,6.3497032644440665,252.44272445820434,1.6399999856948853,B2III,12.92,17.31
Alnilam (ε Ori),* eps Ori,84.05338894077023,-1.2019191358333312,1976.7030303030303,1.690000057220459,B0Ia,1.65,27.3
Alnitak (ζ Ori),* zet Ori,85.18969442793068,-1.9425735859722049,736.2437923250563,1.7699999809265137,O9.7Ib+B0III,4.43,18.5
Mintaka (δ Ori),* del Ori,83.00166705557675,-0.29909510708333326,692.4755838641189,2.4100000858306885,O9.5IINwk,4.71,18.5
Rigel (β Ori),* bet Ori,78.63446706693006,-8.201638364722209,862.8465608465608,0.12999999523162842,B8Ia,3.78,17.8
Saiph (κ Ori),* kap Ori,86.93912016833333,-9.66960491861111,647.1349206349206,2.059999942779541,B0.5Ia,5.04,20.5
Meissa (λ Ori),* lam Ori,83.78449002103218,9.934155874166667,1098.16835016835,3.6600000858306885,O8IIIf+B0.5V,2.97,30.1
