name,ra_deg,dec_deg,dist_ly,mag,spec_type,parallax_mas,radial_velocity
Hamal (α Ari),31.79335709957655,23.46241755020095,65.81032908844362,2.009999990463257,K2-IIIbCa-1,49.560001373291016,-14.412
Sheratan (β Ari),28.66004578884514,20.808031471916408,58.66115268902545,2.6500000953674316,kA4hA5mA5Va,55.599998474121094,-3.1
Mesarthim (γ Ari),28.3825800137264,19.2959529982388,164.0,4.589000225067139,A0Vnp_lB,19.9,3.7
Eta Arietis (η Ari),33.2003569925833,21.2109937674006,94.1558908045091,5.23,F5V,34.63999938964844,5.402053356170654
